source,target,weight
be,to,0.7526066303253174
be,pour,0.7482205033302307
be,become,0.7450574636459351
be,till,0.7342016100883484
be,dig,0.7292748093605042
be,era,0.7275902032852173
be,sin,0.7250877618789673
be,ben,0.7242390513420105
be,ali,0.7241936922073364
be,tran,0.7221319079399109
be,se,0.7205132246017456
be,re,0.7171023488044739
be,comprise,0.7153633832931519
be,allocate,0.7136631608009338
be,en,0.713493824005127
be,pot,0.713411808013916
be,die,0.710692286491394
be,undergo,0.7079716920852661
be,ceo,0.7078840732574463
be,dan,0.7077503204345703
do,ve,0.8314661383628845
do,latter,0.8182805776596069
do,to,0.8152130246162415
do,till,0.8121740818023682
do,sin,0.8101252317428589
do,die,0.8101149797439575
do,etc,0.80893874168396
do,uh,0.8027139902114868
do,se,0.802196204662323
do,ceo,0.8006343841552734
do,en,0.7969201803207397
do,don,0.7963763475418091
do,vet,0.7963680028915405
do,con,0.7963646054267883
do,or,0.7958856821060181
do,tran,0.7949246764183044
do,pour,0.7946498394012451
do,ah,0.794416069984436
do,i,0.7938750982284546
do,co,0.7935687303543091
go,merge,0.8933846354484558
go,along,0.829518735408783
go,proceed,0.7677106857299805
go,onto,0.7565587759017944
go,gordon,0.7494267225265503
go,come,0.7423025369644165
go,wander,0.7348342537879944
go,forth,0.7240904569625854
go,arrive,0.7134478688240051
go,depart,0.7101343274116516
go,haul,0.7096463441848755
go,ve,0.7018665075302124
go,anyway,0.6947282552719116
go,kinda,0.6891621351242065
go,ceo,0.6889079809188843
go,leave,0.6873612403869629
go,walk,0.6859954595565796
go,walk,0.6859954595565796
go,ali,0.6854535341262817
go,logo,0.6843189001083374
get,obtain,0.7820227146148682
get,receive,0.7491370439529419
get,arrive,0.7009066939353943
get,stag,0.6956680417060852
get,come,0.6953243017196655
get,dig,0.686259925365448
get,en,0.6855682134628296
get,reach,0.6801964640617371
get,vol,0.677601158618927
get,op,0.6770122051239014
get,kinda,0.675544023513794
get,till,0.6750946044921875
get,pour,0.674859881401062
get,ve,0.6747246980667114
get,tran,0.6743662357330322
